# Date, spot_meas, millis
2000-01-01T00:00:00Z, 26166, 24.25
2000-01-01T00:00:00Z, 27290, 24.25
2000-01-01T00:00:00Z, 28414, 24.25
2000-01-01T00:00:00Z, 29538, 24.25
2000-01-01T00:00:00Z, 30662, 24.25
2000-01-01T00:00:00Z, 31785, 24.25
2000-01-01T00:00:00Z, 32910, 24.25
2000-01-01T00:00:00Z, 34033, 24.25
2000-01-01T00:00:00Z, 35161, 24.25
2000-01-01T00:00:00Z, 36285, 24.25
2000-01-01T00:00:00Z, 37409, 24.25
2000-01-01T00:00:00Z, 38533, 24.25
2000-01-01T00:00:00Z, 39657, 24.25
2000-01-01T00:00:00Z, 40780, 24.25
2000-01-01T00:00:00Z, 41905, 24.25
2000-01-01T00:00:00Z, 43028, 24.25
2000-01-01T00:00:00Z, 44152, 24.25
2000-01-01T00:00:00Z, 45276, 24.25
2000-01-01T00:00:00Z, 46400, 24.31
2000-01-01T00:00:00Z, 47523, 24.31
2000-01-01T00:00:00Z, 48648, 24.25
2000-01-01T00:00:00Z, 49771, 24.31
2000-01-01T00:00:00Z, 50895, 24.31
2000-01-01T00:00:00Z, 52017, 24.31
2000-01-01T00:00:00Z, 53141, 24.31
2000-01-01T00:00:00Z, 54264, 24.31
2000-01-01T00:00:00Z, 55389, 24.31
2000-01-01T00:00:00Z, 56512, 24.31
2000-01-01T00:00:00Z, 57636, 24.31
2000-01-01T00:00:00Z, 58760, 24.31
2000-01-01T00:00:00Z, 59884, 24.31
2000-01-01T00:00:00Z, 61007, 24.31
2000-01-01T00:00:00Z, 62132, 24.31
2000-01-01T00:00:00Z, 63255, 24.31
2000-01-01T00:00:00Z, 64379, 24.31
2000-01-01T00:00:00Z, 65503, 24.31
2000-01-01T00:00:00Z, 66632, 24.31
2000-01-01T00:00:00Z, 67760, 24.38
# Date, millis, spot_meas
2000-01-01T00:00:00Z, 282, 25.00
2000-01-01T00:00:00Z, 1417, 24.56
2000-01-01T00:00:00Z, 2551, 24.56
2000-01-01T00:00:00Z, 3677, 24.56
2000-01-01T00:00:00Z, 4800, 24.56
2000-01-01T00:00:00Z, 5923, 24.56
2000-01-01T00:00:00Z, 7048, 24.56
2000-01-01T00:00:00Z, 8171, 24.63
2000-01-01T00:00:00Z, 9294, 24.56
2000-01-01T00:00:00Z, 10418, 24.63
2000-01-01T00:00:00Z, 11541, 24.63
2000-01-01T00:00:00Z, 12665, 24.56
2000-01-01T00:00:00Z, 13789, 24.63
2000-01-01T00:00:00Z, 14921, 24.63
2000-01-01T00:00:00Z, 16039, 24.63
2000-01-01T00:00:00Z, 17159, 24.63
2000-01-01T00:00:00Z, 18277, 24.63
2000-01-01T00:00:00Z, 19395, 24.63
2000-01-01T00:00:00Z, 20514, 24.69
2000-01-01T00:00:00Z, 21633, 24.63
2000-01-01T00:00:00Z, 22751, 24.69
2000-01-01T00:00:00Z, 23870, 24.69
2000-01-01T00:00:00Z, 24988, 24.69
2000-01-01T00:00:00Z, 26106, 24.69
2000-01-01T00:00:00Z, 27225, 24.69
2000-01-01T00:00:00Z, 28344, 24.69
2000-01-01T00:00:00Z, 29462, 24.69
2000-01-01T00:00:00Z, 30578, 24.69
2000-01-01T00:00:00Z, 31697, 24.69
2000-01-01T00:00:00Z, 32817, 24.69
2000-01-01T00:00:00Z, 33935, 24.69
2000-01-01T00:00:00Z, 35054, 24.69
2000-01-01T00:00:00Z, 36172, 24.69
2000-01-01T00:00:00Z, 37292, 24.69
2000-01-01T00:00:00Z, 38411, 24.69
2000-01-01T00:00:00Z, 39529, 24.69
2000-01-01T00:00:00Z, 40653, 24.69
2000-01-01T00:00:00Z, 41772, 24.69
2000-01-01T00:00:00Z, 42891, 24.69
2000-01-01T00:00:00Z, 44010, 24.69
2000-01-01T00:00:00Z, 45129, 24.69
2000-01-01T00:00:00Z, 46251, 24.69
2000-01-01T00:00:00Z, 47370, 24.69
2000-01-01T00:00:00Z, 48489, 24.69
2000-01-01T00:00:00Z, 49607, 24.69
2000-01-01T00:00:00Z, 50726, 24.69
2000-01-01T00:00:00Z, 51846, 24.69
2000-01-01T00:00:00Z, 52964, 24.69
2000-01-01T00:00:00Z, 54083, 24.69
2000-01-01T00:00:00Z, 55202, 24.69
2000-01-01T00:00:00Z, 56321, 24.69
2000-01-01T00:00:00Z, 57440, 24.69
2000-01-01T00:00:00Z, 58559, 24.69
